t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
3.072e-08	NULL	0.66037	NULL	NULL	NULL	0.650583	NULL	NULL	NULL	NULL
3.0784e-08	NULL	NULL	NULL	0.586257	NULL	NULL	NULL	NULL	NULL	NULL
3.0816e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.572737	NULL	0.593179
3.0848e-08	0.633608	NULL	0.619131	NULL	0.654915	NULL	0.614565	NULL	NULL	NULL
3.0944e-08	NULL	NULL	NULL	NULL	NULL	0.649858	NULL	NULL	NULL	NULL
3.0976e-08	NULL	0.659716	NULL	0.58538	NULL	NULL	NULL	NULL	NULL	NULL
3.1008e-08	NULL	NULL	0.618518	NULL	NULL	NULL	NULL	NULL	NULL	0.592423
3.1072e-08	NULL	NULL	NULL	NULL	0.654284	NULL	NULL	NULL	NULL	NULL
3.1136e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.613828	NULL	NULL	NULL
3.1168e-08	NULL	0.659184	NULL	0.584434	NULL	NULL	NULL	NULL	NULL	0.591725
3.12e-08	NULL	NULL	NULL	NULL	NULL	0.648963	NULL	NULL	NULL	NULL
3.1296e-08	NULL	NULL	NULL	0.583937	NULL	NULL	0.613583	NULL	NULL	NULL
3.1328e-08	NULL	NULL	0.616506	NULL	NULL	0.648893	NULL	NULL	NULL	NULL
3.136e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.571325	NULL	0.591328
3.1392e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.603016	NULL
3.1456e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.613243	NULL	NULL	NULL
3.1472e-08	NULL	NULL	NULL	NULL	NULL	0.649197	NULL	NULL	NULL	NULL
3.1504e-08	0.632775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.152e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.591191
3.1584e-08	0.632895	NULL	NULL	NULL	NULL	NULL	NULL	0.571358	NULL	NULL
3.1616e-08	NULL	NULL	0.61432	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.1648e-08	NULL	0.658542	NULL	NULL	0.652406	NULL	NULL	NULL	NULL	NULL
3.1744e-08	NULL	0.658015	NULL	NULL	NULL	NULL	NULL	0.57161	NULL	NULL
3.1776e-08	NULL	NULL	NULL	NULL	NULL	0.649463	NULL	NULL	NULL	0.590509
3.1808e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.612546	NULL	NULL	NULL
3.184e-08	NULL	NULL	0.613191	NULL	0.652224	NULL	NULL	NULL	0.603278	NULL
3.1872e-08	NULL	NULL	NULL	0.58152	NULL	NULL	NULL	0.571113	NULL	0.590247
3.1904e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.612119	NULL	NULL	NULL
3.1936e-08	0.633882	0.65675	0.612661	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.1968e-08	NULL	NULL	NULL	NULL	NULL	0.649503	NULL	NULL	NULL	NULL
3.2e-08	NULL	NULL	NULL	0.581485	NULL	NULL	NULL	NULL	0.603046	NULL
